code,name,market,sector33,sector17,size
7779,ＣＹＢＥＲＤＹＮＥ,growth,精密機器,電機・精密,none
7780,メニコン,prime,精密機器,電機・精密,small1
7781,平山ホールディングス,standard,精密機器,電機・精密,none
7782,シンシア,standard,精密機器,電機・精密,none
7791,ドリームベッド,standard,その他製品,情報通信・サービスその他,none
7792,コラントッテ,growth,その他製品,情報通信・サービスその他,none
7793,イメージ・マジック,growth,その他製品,情報通信・サービスその他,none
7794,イーディーピー,growth,その他製品,情報通信・サービスその他,none
7795,ＫＹＯＲＩＴＳＵ,standard,その他製品,情報通信・サービスその他,none
7800,アミファ,standard,その他製品,情報通信・サービスその他,none
7803,ブシロード,growth,その他製品,情報通信・サービスその他,none
7804,ビーアンドピー,standard,その他製品,情報通信・サービスその他,none
7805,プリントネット,standard,その他製品,情報通信・サービスその他,none
7806,ＭＴＧ,growth,その他製品,情報通信・サービスその他,none
7807,幸和製作所,standard,その他製品,情報通信・サービスその他,none
7808,シー・エス・ランバー,standard,その他製品,情報通信・サービスその他,none
7809,壽屋,standard,その他製品,情報通信・サービスその他,none
7810,クロスフォー,standard,その他製品,情報通信・サービスその他,none
7811,中本パックス,standard,その他製品,情報通信・サービスその他,none
7812,クレステック,standard,その他製品,情報通信・サービスその他,none
7813,プラッツ,standard,その他製品,情報通信・サービスその他,none
7814,日本創発グループ,standard,その他製品,情報通信・サービスその他,none
7815,東京ボード工業,standard,その他製品,情報通信・サービスその他,none
7818,トランザクション,prime,その他製品,情報通信・サービスその他,small2
7819,粧美堂,standard,その他製品,情報通信・サービスその他,none
7820,ニホンフラッシュ,prime,その他製品,情報通信・サービスその他,small2
7821,前田工繊,prime,その他製品,情報通信・サービスその他,small1
7822,永大産業,standard,その他製品,情報通信・サービスその他,none
7823,アートネイチャー,standard,その他製品,情報通信・サービスその他,small2
7826,フルヤ金属,prime,その他製品,情報通信・サービスその他,small1
7827,オービス,standard,その他製品,情報通信・サービスその他,none
7831,ウイルコホールディングス,standard,その他製品,情報通信・サービスその他,none
7832,バンダイナムコホールディングス,prime,その他製品,情報通信・サービスその他,large70
7833,アイフィスジャパン,standard,その他製品,情報通信・サービスその他,none
7836,アビックス,standard,その他製品,情報通信・サービスその他,none
7837,アールシーコア,standard,その他製品,情報通信・サービスその他,none
7839,ＳＨＯＥＩ,prime,その他製品,情報通信・サービスその他,small1
7840,フランスベッドホールディングス,prime,その他製品,情報通信・サービスその他,small2
7841,遠藤製作所,standard,その他製品,情報通信・サービスその他,none
7844,マーベラス,prime,情報・通信業,情報通信・サービスその他,small2
7846,パイロットコーポレーション,prime,その他製品,情報通信・サービスその他,mid400
7847,グラファイトデザイン,standard,その他製品,情報通信・サービスその他,none
7849,スターツ出版,standard,情報・通信業,情報通信・サービスその他,none
7850,総合商研,standard,その他製品,情報通信・サービスその他,none
7851,カワセコンピュータサプライ,standard,その他製品,情報通信・サービスその他,none
7856,萩原工業,prime,その他製品,情報通信・サービスその他,small2
7857,セキ,standard,その他製品,情報通信・サービスその他,none
