delist_date,name,code,market_name,reason,category
2025-05-26,（株）シンニッタン,6319,スタンダード,他社による買収（公開買付け、株式等売渡請求による取得）,acquisition
2025-05-28,ジーエフシー（株）,7559,スタンダード,ＭＢＯ（公開買付け、株式併合）,acquisition
2025-05-29,テックポイント・インク,6697,グロース（外国株）,ASMedia Technology Inc.の完全子会社（合併）,acquisition
2025-05-29,（株）シーアールイー,3458,プライム,ＭＢＯ（公開買付け、株式併合）,acquisition
2025-06-02,東洋精糖（株）,2107,スタンダード,他社による買収（公開買付け、株式併合）,acquisition
2025-06-06,新光電気工業（株）,6967,プライム,他社による買収（公開買付け、株式併合）,acquisition
2025-06-09,浜井産業（株）,6131,スタンダード,ＭＢＯ（公開買付け、株式併合）,acquisition
2025-06-11,（株）カオナビ,4435,グロース,他社による買収（公開買付け、株式併合）,acquisition
2025-06-13,（株）ナカヨ,6715,スタンダード,他社による買収（公開買付け、株式併合）,acquisition
2025-06-16,ジャパンワランティサポート（株）,7386,グロース,支配株主等による買収（株式併合）,acquisition
2025-06-16,（株）プロトコーポレーション,4298,プライム,ＭＢＯ（公開買付け、株式併合）,acquisition
2025-06-17,東都水産（株）,8038,スタンダード,支配株主等による買収（公開買付け、株式併合）,acquisition
2025-06-17,エコナビスタ（株）,5585,グロース,他社による買収（公開買付け、株式等売渡請求による取得）,acquisition
2025-06-17,（株）マクロミル,3978,プライム,他社による買収（公開買付け、株式併合）,acquisition
2025-06-19,（株）ＤＮＡチップ研究所,2397,スタンダード,他社による買収（公開買付け、株式併合）,acquisition
2025-06-19,トナミホールディングス（株）,9070,プライム,ＭＢＯ（公開買付け、株式併合）,acquisition
2025-06-20,（株）Ｅストアー,4304,スタンダード,他社による買収（公開買付け、株式併合）,acquisition
2025-06-27,イオンモール（株）,8905,プライム,イオンの完全子会社化（株式交換）,acquisition
2025-07-02,（株）ＷＡＣＵＬ,4173,グロース,他社による買収（公開買付け、株式等売渡請求による取得）,acquisition
2025-07-09,内外トランスライン（株）,9384,プライム,他社による買収（公開買付け、株式併合）,acquisition
2025-07-11,（株）ウッドフレンズ,8886,スタンダード,他社による買収（公開買付け、株式等売渡請求による取得）,acquisition
2025-07-17,イオンディライト（株）,9787,プライム,支配株主等による買収（公開買付け、株式併合）,acquisition
2025-07-17,（株）ジャムコ,7408,プライム,他社による買収（公開買付け、株式併合）,acquisition
2025-07-28,（株）インプレスホールディングス,9479,スタンダード,支配株主等による買収（株式併合）,acquisition
2025-07-28,（株）ライトワークス,4267,グロース,ＭＢＯ（公開買付け、株式併合）,acquisition
2025-07-30,Ｕｎｉｐｏｓ（株）,6550,グロース,リンクアンドモチベーションの完全子会社化（株式交換）,acquisition
2025-08-18,（株）サンオータス,7623,スタンダード,ＭＢＯ（公開買付け、株式併合）,acquisition
2025-08-18,天馬（株）,7958,プライム,ＭＢＯ（公開買付け、株式併合）,acquisition
2025-08-19,（株）富士通ゼネラル,6755,プライム,他社による買収（公開買付け、株式併合）,acquisition
2025-08-20,（株）トラスト,3347,スタンダード,支配株主等による買収（公開買付け、株式等売渡請求による取得）,acquisition
2025-08-28,（株）エンチョー,8208,スタンダード,ＤＣＭホールディングスの完全子会社化（株式交換）,acquisition
2025-08-28,ＢＥＥＮＯＳ（株）,3328,プライム,他社による買収（公開買付け、株式併合）,acquisition
2025-08-28,鳥居薬品（株）,4551,プライム,他社による買収（公開買付け、株式併合）,acquisition
2025-08-31,（株）オルツ,260A,グロース,新規上場申請に係る宣誓書における重大な違反,other
2025-09-04,（株）ウィザス,9696,スタンダード,他社による買収（公開買付け、株式等売渡請求による取得）,acquisition
2025-09-06,（株）アルファクス・フード・システム,3814,グロース,半期報告書の提出遅延,other
2025-09-19,（株）創建エース,1757,スタンダード,有価証券報告書等の虚偽記載,failure
2025-09-19,（株）サーキュレーション,7379,グロース,他社による買収（公開買付け、株式等売渡請求による取得）,acquisition
2025-09-19,（株）ＬｅＴｅｃｈ,3497,グロース,他社による買収（公開買付け、株式併合）,acquisition
2025-09-24,（株）トライト,9164,グロース,他社による買収（公開買付け、株式併合）,acquisition
2025-09-25,住信ＳＢＩネット銀行（株）,7163,スタンダード,他社による買収（公開買付け、株式併合）,acquisition
2025-09-26,三菱食品（株）,7451,スタンダード,支配株主等による買収（公開買付け、株式併合）,acquisition
2025-09-26,（株）ＮＴＴデータグループ,9613,プライム,支配株主等による買収（公開買付け、株式併合）,acquisition
2025-09-29,（株）エージーピー,9377,スタンダード,支配株主等による買収（株式併合）,acquisition
2025-09-29,（株）ヤオコー,8279,プライム,ブルーゾーンホールディングスの完全子会社化（株式移転）,acquisition
2025-09-29,（株）ゴルフダイジェスト・オンライン,3319,プライム,ＭＢＯ（公開買付け、株式併合）,acquisition
2025-09-29,（株）デザインワン・ジャパン,6048,スタンダード,ＧＭＯ ＴＥＣＨホールディングスの完全子会社化（株式移転）,acquisition
2025-09-29,富士興産（株）,5009,スタンダード,富士ユナイトホールディングスの完全子会社化（株式移転）,acquisition
2025-09-29,（株）ナルミヤ・インターナショナル,9275,スタンダード,ワールドの完全子会社化（株式交換）,acquisition
2025-09-29,ＧＭＯ　ＴＥＣＨ（株）,6026,グロース,ＧＭＯ ＴＥＣＨホールディングスの完全子会社化（株式移転）,acquisition
2025-09-29,（株）ＩＭＡＧＩＣＡ　ＧＲＯＵＰ,6879,プライム,ＭＢＯ（公開買付け、株式併合）,acquisition
2025-10-10,日本道路（株）,1884,プライム,支配株主等による買収（公開買付け、株式併合）,acquisition
2025-10-14,（株）フジ・コーポレーション,7605,プライム,他社による買収（公開買付け、株式併合）,acquisition
2025-10-14,中野冷機（株）,6411,スタンダード,他社による買収（公開買付け、株式併合）,acquisition
2025-10-15,（株）日新,9066,プライム,ＭＢＯ（公開買付け、株式併合）,acquisition
2025-10-16,協栄産業（株）,6973,スタンダード,他社による買収（公開買付け、株式併合）,acquisition
2025-10-17,メドピア（株）,6095,プライム,ＭＢＯ（公開買付け、株式併合）,acquisition
2025-10-30,（株）ザッパラス,3770,スタンダード,光通信の完全子会社化（株式交換）,acquisition
2025-10-30,アヲハタ（株）,2830,スタンダード,キユーピーの完全子会社化（株式交換）,acquisition
2025-11-04,日本コンセプト（株）,9386,プライム,ＭＢＯ（公開買付け、株式併合）,acquisition
2025-11-05,桂川電機（株）,6416,スタンダード,ＭＢＯ（公開買付け、株式等売渡請求による取得）,acquisition
2025-11-06,（株）アイデミー,5577,グロース,他社による買収（公開買付け、株式等売渡請求による取得）,acquisition
2025-11-17,鉱研工業（株）,6297,スタンダード,他社による買収（公開買付け、株式併合）,acquisition
2025-11-20,日本アンテナ（株）,6930,スタンダード,エレコムの完全子会社化（株式交換）,acquisition
2025-11-21,（株）ＤＤグループ,3073,プライム,ＭＢＯ（公開買付け、株式併合）,acquisition
2025-11-26,パシフィックシステム（株）,3847,スタンダード,支配株主等による買収（公開買付け、株式等売渡請求による取得）,acquisition
2025-11-27,（株）インテリックス,8940,スタンダード,インテリックスホールディングスの完全子会社化（株式移転）,acquisition
2025-11-27,（株）ＱＰＳ研究所,5595,グロース,ＱＰＳホールディングスの完全子会社化（株式移転）,acquisition
2025-11-27,ウエルシアホールディングス（株）,3141,プライム,ツルハホールディングスの完全子会社化（株式交換）,acquisition
2025-11-27,ＳＢＩレオスひふみ（株）,165A,グロース,ＳＢＩグローバルアセットマネジメントに合併（会社合併）,acquisition
2025-11-28,コーアツ工業（株）,1743,スタンダード,他社による買収（公開買付け、株式併合）,acquisition
2025-12-02,（株）トプコン,7732,プライム,ＭＢＯ（公開買付け、株式併合）,acquisition
2025-12-08,（株）ＣＡＲＴＡ　ＨＯＬＤＩＮＧＳ,3688,プライム,他社による買収（公開買付け、株式併合）,acquisition
2025-12-09,テクノプロ・ホールディングス（株）,6028,プライム,他社による買収（公開買付け、株式併合）,acquisition
2025-12-12,（株）ドラフト,5070,グロース,ＭＢＯ（公開買付け、株式併合）,acquisition
2025-12-15,（株）歯愛メディカル,3540,スタンダード,支配株主等による買収（公開買付け、株式併合）,acquisition
2025-12-16,東洋建設（株）,1890,プライム,他社による買収（公開買付け、株式併合）,acquisition
2025-12-19,三井住友建設（株）,1821,プライム,他社による買収（公開買付け、株式併合）,acquisition
